Episode,Total_Reward,Moving_Average
94,232.0,673.8842105263158
95,220.0,669.15625
96,648.0,668.9381443298969
97,1043.0,672.7551020408164
98,775.0,673.7878787878788
99,611.0,673.16
100,628.0,671.62
101,249.0,667.25
102,243.0,663.43
103,1293.0,670.11
104,614.0,665.5
105,243.0,661.64
106,780.0,667.03
107,239.0,658.08
108,236.0,654.28
109,1000.0,656.65
110,573.0,656.39
111,1270.0,661.26
112,945.0,662.8
113,727.0,658.04
114,229.0,643.99
115,699.0,639.73
116,248.0,639.93
117,612.0,640.28
118,584.0,634.96
119,233.0,629.71
120,1360.0,635.84
121,624.0,629.45
122,247.0,622.11
123,1033.0,630.48
124,720.0,631.59
125,606.0,627.44
126,636.0,627.45
127,1044.0,635.6
128,1102.0,640.41
129,605.0,633.6
130,595.0,637.25
131,604.0,633.64
132,244.0,629.96
133,743.0,629.82
134,613.0,628.43
135,807.0,634.08
136,613.0,632.55
137,613.0,626.21
138,627.0,630.13
139,785.0,635.51
140,1279.0,645.91
141,959.0,649.13
142,1021.0,652.85
143,598.0,656.6
144,748.0,662.08
145,1682.0,671.79
146,734.0,672.76
147,638.0,673.11
148,733.0,674.39
149,230.0,669.07
150,236.0,669.11
151,230.0,668.74
152,639.0,668.77
153,633.0,672.83
154,1004.0,670.45
155,617.0,669.46
156,592.0,673.22
157,586.0,669.44
158,1172.0,678.71
159,611.0,679.01
160,251.0,675.77
161,624.0,679.55
162,809.0,681.36
163,246.0,681.58
164,1036.0,678.52
165,245.0,670.71
166,725.0,675.55
167,754.0,680.75
168,240.0,673.74
169,693.0,674.38
170,632.0,673.73
171,700.0,666.8
172,1020.0,664.17
173,226.0,656.78
174,237.0,653.0
175,1297.0,660.24
176,653.0,660.63
177,1043.0,664.97
178,625.0,665.09
179,624.0,660.95
180,631.0,659.37
181,1015.0,662.27
182,244.0,658.26
183,613.0,658.01
184,236.0,654.16
185,790.0,659.59
186,252.0,659.63
187,634.0,656.67
188,949.0,659.17
189,244.0,655.41
190,250.0,655.54
191,624.0,648.47
192,247.0,643.69
193,246.0,639.92
194,724.0,644.84
195,648.0,649.12
196,609.0,648.73
197,611.0,644.41
198,810.0,644.76
199,647.0,645.12
200,1037.0,649.21
201,606.0,652.78
202,646.0,656.81
203,594.0,649.82
204,244.0,646.12
205,1038.0,654.07
206,1043.0,656.7
207,1543.0,669.74
208,632.0,673.7
209,766.0,671.36
210,1027.0,675.9
211,1004.0,673.24
212,1044.0,674.23
213,1548.0,682.44
214,806.0,688.21
215,1022.0,691.44
216,604.0,695.0
217,237.0,691.25
218,1036.0,695.77
219,1314.0,706.58
220,233.0,695.31
221,235.0,691.42
222,248.0,691.43
223,638.0,687.48
224,744.0,687.72
225,220.0,683.86
226,638.0,683.88
227,1024.0,683.68
228,248.0,675.14
229,606.0,675.15
230,239.0,671.59
231,1413.0,679.68
232,237.0,679.61
233,620.0,678.38
234,236.0,674.61
235,247.0,669.01
236,248.0,665.36
237,1014.0,669.37
238,651.0,669.61
239,685.0,668.61
240,622.0,662.04
241,1321.0,665.66
242,603.0,661.48
243,247.0,657.97
244,249.0,652.98
245,227.0,638.43
246,247.0,633.56
247,1055.0,637.73
248,595.0,636.35
249,615.0,640.2
250,239.0,640.23
251,234.0,640.27
252,232.0,636.2
253,636.0,636.23
254,246.0,628.65
255,243.0,624.91
256,1040.0,629.39
257,1276.0,636.29
258,246.0,627.03
259,1029.0,631.21
260,214.0,630.84
261,1322.0,637.82
262,1313.0,642.86
263,730.0,647.7
264,248.0,639.82
265,589.0,643.26
266,603.0,642.04
267,802.0,642.52
268,1407.0,654.19
269,247.0,649.73
270,251.0,645.92
271,241.0,641.33
272,237.0,633.5
273,614.0,637.38
274,247.0,637.48
275,233.0,626.84
276,1030.0,630.61
277,240.0,622.58
278,812.0,624.45
279,1068.0,628.89
280,219.0,624.77
281,239.0,617.01
282,248.0,617.05
283,242.0,613.34
284,240.0,613.38
285,250.0,607.98
286,1430.0,619.76
287,245.0,615.87
288,250.0,608.88
289,1316.0,619.6
290,1051.0,627.61
291,608.0,627.45
292,243.0,627.41
293,744.0,632.39
294,1042.0,635.57
295,1428.0,643.37
296,247.0,639.75
297,1040.0,644.04
298,1326.0,649.2
299,238.0,645.11
300,1011.0,644.85
301,248.0,641.27
302,247.0,637.28
303,1029.0,641.63
304,633.0,645.52
305,242.0,637.56
306,248.0,629.61
307,596.0,620.14
308,241.0,616.23
309,235.0,610.92
310,239.0,603.04
311,1038.0,603.38
312,249.0,595.43
313,247.0,582.42
314,1038.0,584.74
315,247.0,576.99
316,805.0,579.0
317,229.0,578.92
318,1024.0,578.8
319,619.0,571.85
320,626.0,575.78
321,710.0,580.53
322,1329.0,591.34
323,239.0,587.35
324,245.0,582.36
325,605.0,586.21
326,633.0,586.16
327,1156.0,587.48
328,248.0,587.48
329,619.0,587.61
330,240.0,587.62
331,245.0,575.94
332,813.0,581.7
333,638.0,581.88
334,623.0,585.75
335,610.0,589.38
336,245.0,589.35
337,1034.0,589.55
338,242.0,585.46
339,245.0,581.06
340,1311.0,587.95
341,240.0,577.14
342,243.0,573.54
343,638.0,577.45
344,1052.0,585.48
345,810.0,591.31
346,1317.0,602.01
347,611.0,597.57
348,234.0,593.96
349,609.0,593.9
350,726.0,598.77
351,1101.0,607.44
352,625.0,611.37
353,729.0,612.3
354,1409.0,623.93
355,235.0,623.85
356,247.0,615.92
357,241.0,605.57
358,1326.0,616.37
359,1344.0,619.52
360,1127.0,628.65
361,234.0,617.77
362,243.0,607.07
363,247.0,602.24
364,1128.0,611.04
365,224.0,607.39
366,1031.0,611.67
367,616.0,609.81
368,615.0,601.89
369,243.0,601.85
370,1044.0,609.78
371,248.0,609.85
372,582.0,613.3
373,1003.0,617.19
374,630.0,621.02
375,243.0,621.12
376,242.0,613.24
377,232.0,613.16
378,635.0,611.39
379,634.0,607.05
380,623.0,611.09
381,1030.0,619.0
382,1018.0,626.7
383,251.0,626.79
384,740.0,631.79
385,242.0,631.71
386,1023.0,627.64
387,626.0,631.45
388,248.0,631.43
389,650.0,624.77
390,1210.0,626.36
391,245.0,622.73
392,247.0,622.77
393,239.0,617.72
394,249.0,609.79
395,250.0,598.01
396,602.0,601.56
397,651.0,597.67
398,612.0,590.53
399,1828.0,606.43
400,250.0,598.82
401,247.0,598.81
402,245.0,598.79
403,249.0,590.99
404,1055.0,595.21
405,1336.0,606.15
406,1324.0,616.91
407,247.0,613.42
408,243.0,613.44
409,614.0,617.23
410,225.0,617.09
411,221.0,608.92
412,234.0,608.77
413,242.0,608.72
414,243.0,600.77
415,242.0,600.72
416,812.0,600.79
417,616.0,604.66
418,615.0,600.57
419,618.0,600.56
420,1416.0,608.46
421,757.0,608.93
422,242.0,598.06
423,625.0,601.92
424,1317.0,612.64
425,725.0,613.84
426,1424.0,621.75
427,1031.0,620.5
428,238.0,620.4
429,767.0,621.88
430,629.0,625.77
431,1319.0,636.51
432,1426.0,642.64
433,247.0,638.73
434,625.0,638.75
435,612.0,638.77
436,249.0,638.81
437,621.0,634.68
438,1314.0,645.4
439,631.0,649.26
440,629.0,642.44
441,1134.0,651.38
442,640.0,655.35
443,236.0,651.33
444,609.0,646.9
445,222.0,641.02
446,625.0,634.1
447,240.0,630.39
448,244.0,630.49
449,633.0,630.73
450,243.0,625.9
451,233.0,617.22
452,1032.0,621.29
453,625.0,620.25
454,1018.0,616.34
455,1290.0,626.89
456,634.0,630.76
457,809.0,636.44
458,1037.0,633.55
459,1045.0,630.56
460,244.0,621.73
461,246.0,621.85
462,249.0,621.91
463,1030.0,629.74
464,247.0,620.93
465,1055.0,629.24
466,629.0,625.22
467,635.0,625.41
468,249.0,621.75
469,622.0,625.54
470,1167.0,626.77
471,628.0,630.57
472,813.0,632.88
473,620.0,629.05
474,1045.0,633.2
475,605.0,636.82
476,1030.0,644.7
477,1337.0,655.75
478,248.0,651.88
479,242.0,647.96
480,233.0,644.06
481,1124.0,645.0
482,629.0,641.11
483,248.0,641.08
484,243.0,636.11
485,1041.0,644.1
486,997.0,643.84
487,633.0,643.91
488,817.0,649.6
489,1020.0,653.3
490,231.0,643.51
491,633.0,647.39
492,243.0,647.35
493,634.0,651.3
494,1334.0,662.15
495,239.0,662.04
496,248.0,658.5
497,247.0,654.46
498,248.0,650.82
499,247.0,635.01
500,247.0,634.98
501,626.0,638.77
502,1317.0,649.49
503,245.0,649.45
504,775.0,646.65
505,787.0,641.16
506,248.0,630.4
507,229.0,630.22
508,1045.0,638.24
509,604.0,638.14
510,1023.0,646.12
511,624.0,650.15
512,625.0,654.06
513,1041.0,662.05
514,247.0,662.09
515,1320.0,672.87
516,605.0,670.8
517,250.0,667.14
518,248.0,663.47
519,247.0,659.76
520,1020.0,655.8
521,624.0,654.47
522,247.0,654.52
523,1137.0,659.64
524,240.0,648.87
525,1022.0,651.84
526,241.0,640.01
527,1039.0,640.09
528,222.0,639.93
529,624.0,638.5
530,239.0,634.6
531,225.0,623.66
532,599.0,615.39
533,1329.0,626.21
534,598.0,625.94
535,248.0,622.3
536,248.0,622.29
537,728.0,623.36
538,240.0,612.62
539,228.0,608.59
540,250.0,604.8
541,1053.0,603.99
542,246.0,600.05
543,246.0,600.15
544,1035.0,604.41
545,1309.0,615.28
546,245.0,611.48
547,1304.0,622.12
548,1311.0,632.79
549,1307.0,639.53
550,231.0,639.41
551,232.0,639.4
552,570.0,634.78
553,1040.0,638.93
554,232.0,631.07
555,231.0,620.48
556,1415.0,628.29
557,796.0,628.16
558,245.0,620.24
559,635.0,616.14
560,1318.0,626.88
561,623.0,630.65
562,243.0,630.59
563,220.0,622.49
564,247.0,622.49
565,620.0,618.14
566,244.0,614.29
567,608.0,614.02
568,1307.0,624.6
569,1329.0,631.67
570,246.0,622.46
571,242.0,618.6
572,233.0,612.8
573,628.0,612.88
574,235.0,604.78
575,241.0,601.14
576,1319.0,604.03
577,251.0,593.17
578,1040.0,601.09
579,609.0,604.76
580,616.0,608.59
581,636.0,603.71
582,247.0,599.89
583,1048.0,607.89
584,248.0,607.94
585,239.0,599.92
586,625.0,596.2
587,1047.0,600.34
588,1326.0,605.43
589,1027.0,605.5
590,231.0,605.5
591,634.0,605.51
592,1023.0,613.31
593,612.0,613.09
594,225.0,602.0
595,244.0,602.05
596,606.0,605.63
597,628.0,609.44
598,607.0,613.03
599,226.0,612.82
600,623.0,616.58
601,248.0,612.8
602,649.0,606.12
603,246.0,606.13
604,227.0,600.65
605,227.0,595.05
606,231.0,594.88
607,1647.0,609.06
608,633.0,604.94
609,251.0,601.41
610,250.0,593.68
611,1043.0,597.87
612,1128.0,602.9
613,1424.0,606.73
614,231.0,606.57
615,1033.0,603.7
616,610.0,603.75
617,1318.0,614.43
618,246.0,614.41
619,240.0,614.34
620,743.0,611.57
621,1051.0,615.84
622,606.0,619.43
623,240.0,610.46
624,249.0,610.55
625,811.0,608.44
626,1026.0,616.29
627,619.0,612.09
628,601.0,615.88
629,611.0,615.75
630,1037.0,623.73
631,619.0,627.67
632,208.0,623.76
633,1320.0,623.67
634,1428.0,631.97
635,247.0,631.96
636,644.0,635.92
637,231.0,630.95
638,1417.0,642.72
639,997.0,650.41
640,1022.0,658.13
641,1041.0,658.01
642,619.0,661.74
643,243.0,661.71
644,1036.0,661.72
645,810.0,656.73
646,635.0,660.63
647,611.0,653.7
648,791.0,648.5
649,607.0,641.5
650,1323.0,652.42
651,1308.0,663.18
652,1035.0,667.83
653,238.0,659.81
654,1288.0,670.37
655,247.0,670.53
656,610.0,662.48
657,240.0,656.92
658,803.0,662.5
659,815.0,664.3
660,810.0,659.22
661,615.0,659.14
662,248.0,659.19
663,248.0,659.47
664,1338.0,670.38
665,251.0,666.69
666,246.0,666.71
667,628.0,666.91
668,730.0,661.14
669,237.0,650.22
670,1317.0,660.93
671,251.0,661.02
672,1427.0,672.96
673,1308.0,679.76
674,1410.0,691.51
675,1422.0,703.32
676,244.0,692.57
677,243.0,692.49
678,245.0,684.54
679,250.0,680.95
680,612.0,680.91
681,249.0,677.04
682,630.0,680.87
683,1026.0,680.65
684,243.0,680.6
685,244.0,680.65
686,806.0,682.46
687,248.0,674.47
688,242.0,663.63
689,1408.0,667.44
690,812.0,673.25
691,787.0,674.78
692,243.0,666.98
693,654.0,667.4
694,237.0,667.52
695,623.0,671.31
696,248.0,667.73
697,631.0,667.76
698,235.0,664.04
699,243.0,664.21
700,244.0,660.42
701,1048.0,668.42
702,592.0,667.85
703,812.0,673.51
704,231.0,673.55
705,246.0,673.74
706,609.0,677.52
707,756.0,668.61
708,246.0,664.74
709,1407.0,676.3
710,246.0,676.26
711,241.0,668.24
712,1040.0,667.36
713,1296.0,666.08
714,234.0,666.11
715,251.0,658.29
716,759.0,659.78
717,251.0,649.11
718,801.0,654.66
719,246.0,654.72
720,610.0,653.39
721,1324.0,656.12
722,250.0,652.56
723,1275.0,662.91
724,241.0,662.83
725,244.0,657.16
726,1063.0,657.53
727,1302.0,664.36
728,229.0,660.64
729,1388.0,668.41
730,1133.0,669.37
731,1038.0,673.56
732,248.0,673.96
733,772.0,668.48
734,620.0,660.4
735,1410.0,672.03
736,606.0,671.65
737,807.0,677.41
738,1121.0,674.45
739,1329.0,677.77
740,1026.0,677.81
741,232.0,669.72
742,770.0,671.23
743,236.0,671.16
744,749.0,668.29
745,1343.0,673.62
746,1144.0,678.71
747,757.0,680.17
748,249.0,674.75
749,1340.0,682.08
750,580.0,674.65
751,1334.0,674.91
752,241.0,666.97
753,622.0,670.81
754,243.0,660.36
755,251.0,660.4
756,240.0,656.7
757,605.0,660.35
758,246.0,654.78
759,603.0,652.66
760,252.0,647.08
761,1036.0,651.29
762,247.0,651.28
763,231.0,651.11
764,247.0,640.2
765,246.0,640.15
766,249.0,640.18
767,640.0,640.3
768,653.0,639.53
769,1034.0,647.5
770,243.0,636.76
771,241.0,636.66
772,244.0,624.83
773,249.0,614.24
774,249.0,602.63
775,240.0,590.81
776,246.0,590.83
777,750.0,595.9
778,1033.0,603.78
779,251.0,603.79
780,232.0,599.99
781,247.0,599.97
782,233.0,596.0
783,629.0,592.03
784,615.0,595.75
785,623.0,599.54
786,244.0,593.92
787,1341.0,604.85
788,1348.0,615.91
789,240.0,604.23
790,624.0,602.35
791,621.0,600.69
792,644.0,604.7
793,730.0,605.46
794,1053.0,613.62
795,238.0,609.77
796,243.0,609.72
797,241.0,605.82
798,244.0,605.91
799,246.0,605.94
800,1285.0,616.35
801,245.0,608.32
802,248.0,604.88
803,1016.0,606.92
804,609.0,610.7
805,1033.0,618.57
806,609.0,618.57
807,1017.0,621.18
808,609.0,624.81
809,224.0,612.98
810,587.0,616.39
811,627.0,620.25
812,791.0,617.76
813,818.0,612.98
814,248.0,613.12
815,607.0,616.68
816,1036.0,619.45
817,1329.0,630.23
818,615.0,628.37
819,244.0,628.35
820,246.0,624.71
821,226.0,613.73
822,240.0,613.63
823,233.0,603.21
824,233.0,603.13
825,1335.0,614.04
826,247.0,605.88
827,242.0,595.28
828,244.0,595.43
829,624.0,587.79
830,236.0,578.82
831,590.0,574.34
832,240.0,574.26
833,624.0,572.78
834,595.0,572.53
835,626.0,564.69
836,813.0,566.76
837,249.0,561.18
838,599.0,555.96
839,235.0,545.02
840,608.0,540.84
841,1055.0,549.07
842,251.0,543.88
843,248.0,544.0
844,1019.0,546.7
845,247.0,535.74
846,249.0,526.79
847,1291.0,532.13
848,1046.0,540.1
849,1312.0,539.82
850,615.0,540.17
851,250.0,529.33
852,756.0,534.48
853,249.0,530.75
854,246.0,530.78
855,246.0,530.73
856,612.0,534.45
857,231.0,530.71
858,793.0,536.18
859,1664.0,546.79
860,780.0,552.07
861,243.0,544.14
862,230.0,543.97
863,235.0,544.01
864,250.0,544.04
865,605.0,547.63
866,240.0,547.54
867,249.0,543.63
868,237.0,539.47
869,1316.0,542.29
870,577.0,545.63
871,240.0,545.62
872,780.0,550.98
873,709.0,555.58
874,801.0,561.1
875,1044.0,569.14
876,238.0,569.06
877,595.0,567.51
878,1909.0,576.27
879,611.0,579.87
880,246.0,580.01
881,247.0,580.01
882,561.0,583.29
883,245.0,579.45
884,1013.0,583.43
885,1338.0,590.58
886,1035.0,598.49
887,211.0,587.19
888,607.0,579.78
889,1035.0,587.73
890,1297.0,594.46
891,247.0,590.72
892,1422.0,598.5
893,636.0,597.56
894,248.0,589.51
895,247.0,589.6
896,1311.0,600.28
897,1066.0,608.53
898,624.0,612.33
899,610.0,615.97
900,241.0,605.53
901,247.0,605.55
902,247.0,605.54
903,807.0,603.45
904,764.0,605.0
905,251.0,597.18
906,245.0,593.54
907,246.0,585.83
908,238.0,582.12
909,239.0,582.27
910,639.0,582.79
911,614.0,582.66
912,610.0,580.85
913,627.0,578.94
914,243.0,578.89
915,248.0,575.3
916,634.0,571.28
917,250.0,560.49
918,811.0,562.45
919,1026.0,570.27
920,248.0,570.29
921,236.0,570.39
922,234.0,570.33
923,248.0,570.48
924,649.0,574.64
925,245.0,563.74
926,238.0,563.65
927,234.0,563.57
928,606.0,567.19
929,246.0,563.41
930,812.0,569.17
931,250.0,565.77
932,639.0,569.76
933,246.0,565.98
934,236.0,562.39
935,246.0,558.59
936,623.0,556.69
937,223.0,556.43
938,639.0,556.83
939,779.0,562.27
940,236.0,558.55
941,244.0,550.44
942,229.0,550.22
943,1360.0,561.34
944,245.0,553.6
945,589.0,557.02
946,1020.0,564.73
947,247.0,554.29
948,1310.0,556.93
949,243.0,546.24
950,628.0,546.37
951,244.0,546.31
952,249.0,541.24
953,632.0,545.07
954,250.0,545.11
955,234.0,544.99
956,242.0,541.29
957,541.0,544.39
958,238.0,538.84
959,2288.0,545.08
960,249.0,539.77
961,625.0,543.59
962,1541.0,556.7
963,594.0,560.29
964,248.0,560.27
965,1018.0,564.4
966,247.0,564.47
967,614.0,568.12
968,610.0,571.85
969,781.0,566.5
970,240.0,563.13
971,1555.0,576.28
972,989.0,578.37
973,1045.0,581.73
974,240.0,576.12
975,1143.0,577.11
976,247.0,577.2
977,229.0,573.54
978,248.0,556.93
979,240.0,553.22
980,228.0,553.04
981,1338.0,563.95
982,232.0,560.66
983,248.0,560.69
984,240.0,552.96
985,576.0,545.34
986,808.0,543.07
987,243.0,543.39
988,1327.0,550.59
989,249.0,542.73
990,248.0,532.24
991,992.0,539.69
992,787.0,533.34
993,226.0,529.24
994,590.0,532.66
995,243.0,532.62
996,250.0,522.01
997,1325.0,524.6
998,242.0,520.78
999,227.0,516.95
1000,239.0,516.93
1001,1042.0,524.88
1002,750.0,529.91
1003,1041.0,532.25
1004,1011.0,534.72
1005,786.0,540.07
1006,225.0,539.87
1007,246.0,539.87
1008,251.0,540.0
1009,1521.0,552.82
1010,636.0,552.79
1011,244.0,549.09
1012,234.0,545.33
1013,242.0,541.48
1014,610.0,545.15
1015,635.0,549.02
1016,247.0,545.15
1017,800.0,550.65
1018,626.0,548.8
1019,247.0,541.01
1020,633.0,544.86
1021,554.0,548.04
1022,1665.0,562.35
1023,243.0,562.3
1024,251.0,558.32
1025,241.0,558.28
1026,223.0,558.13
1027,247.0,558.26
1028,594.0,558.14
1029,246.0,558.14
1030,800.0,558.02
1031,1033.0,565.85
1032,232.0,561.78
1033,599.0,565.31
1034,1045.0,573.4
1035,625.0,577.19
1036,616.0,577.12
1037,243.0,577.32
1038,237.0,573.3
1039,241.0,567.92
1040,246.0,568.02
1041,230.0,567.88
1042,239.0,567.98
1043,241.0,556.79
1044,230.0,556.64
1045,740.0,558.15
1046,613.0,554.08
1047,733.0,558.94
1048,1041.0,556.25
1049,248.0,556.3
1050,634.0,556.36
1051,808.0,562.0
1052,641.0,565.92
1053,622.0,565.82
1054,1042.0,573.74
1055,244.0,573.84
1056,247.0,573.89
1057,227.0,570.75
1058,248.0,570.85
1059,240.0,550.37
1060,249.0,550.37
1061,242.0,546.54
1062,1031.0,541.44
1063,609.0,541.59
1064,250.0,541.61
1065,246.0,533.89
1066,629.0,537.71
1067,612.0,537.69
1068,246.0,534.05
1069,247.0,528.71
1070,246.0,528.77
1071,235.0,515.57
1072,617.0,511.85
1073,231.0,503.71
1074,235.0,503.66
1075,248.0,494.71
1076,800.0,500.24
1077,630.0,504.25
1078,1152.0,513.29
1079,248.0,513.37
1080,249.0,513.58
1081,246.0,502.66
1082,605.0,506.39
1083,249.0,506.4
1084,1045.0,514.45
1085,230.0,510.99
1086,1303.0,515.94
1087,247.0,515.98
1088,628.0,508.99
1089,222.0,508.72
1090,239.0,508.63
1091,1039.0,509.1
1092,246.0,503.69
1093,994.0,511.37
1094,247.0,507.94
1095,246.0,507.97
1096,1016.0,515.63
1097,248.0,504.86
1098,249.0,504.93
1099,240.0,505.06
1100,227.0,504.94
1101,245.0,496.97
1102,616.0,495.63
1103,1285.0,498.07
1104,582.0,493.78
1105,635.0,492.27
1106,624.0,496.26
1107,247.0,496.27
1108,625.0,500.01
1109,1028.0,495.08
1110,604.0,494.76
1111,244.0,494.76
1112,649.0,498.91
1113,603.0,502.52
1114,1034.0,506.76
1115,220.0,502.61
1116,241.0,502.55
1117,241.0,496.96
1118,814.0,498.84
1119,962.0,505.99
1120,639.0,506.05
1121,1046.0,510.97
1122,232.0,496.64
1123,685.0,501.06
1124,604.0,504.59
1125,633.0,508.51
1126,1031.0,516.59
1127,622.0,520.34
1128,635.0,520.75
1129,231.0,520.6
1130,606.0,518.66
1131,623.0,514.56
1132,1711.0,529.35
1133,249.0,525.85
1134,812.0,523.52
1135,612.0,523.39
1136,631.0,523.54
1137,1340.0,534.51
1138,711.0,539.25
1139,246.0,539.3
1140,639.0,543.23
1141,608.0,547.01
1142,1040.0,555.02
1143,615.0,558.76
1144,247.0,558.93
1145,239.0,553.92
1146,634.0,554.13
1147,619.0,552.99
1148,802.0,550.6
1149,797.0,556.09
1150,241.0,552.16
1151,244.0,546.52
1152,250.0,542.61
1153,252.0,538.91
1154,760.0,536.09
1155,628.0,539.93
1156,248.0,539.94
1157,251.0,540.18
1158,246.0,540.16
1159,815.0,545.91
1160,797.0,551.39
1161,228.0,551.25
1162,233.0,543.27
1163,637.0,543.55
1164,1042.0,551.47
1165,243.0,551.44
1166,602.0,551.17
1167,243.0,547.48
1168,240.0,547.42
1169,633.0,551.28
1170,813.0,556.95
1171,236.0,556.96
1172,744.0,558.23
1173,248.0,558.4
1174,248.0,558.53
1175,228.0,558.33
1176,248.0,552.81
1177,614.0,552.65
1178,245.0,543.58
1179,243.0,543.53
1180,747.0,548.51
1181,250.0,548.55
1182,245.0,544.95
1183,250.0,544.96
1184,1333.0,547.84
1185,732.0,552.86
1186,1147.0,551.3
1187,802.0,556.85
1188,1015.0,560.72
1189,809.0,566.59
1190,237.0,566.57
1191,610.0,562.28
1192,244.0,562.26
1193,1314.0,565.46
1194,631.0,569.3
1195,245.0,569.29
1196,777.0,566.9
1197,218.0,566.6
1198,604.0,570.15
1199,620.0,573.95
1200,628.0,577.96
1201,228.0,577.79
1202,239.0,574.02
1203,615.0,567.32
1204,1042.0,571.92
1205,242.0,567.99
1206,1317.0,574.92
1207,653.0,578.98
1208,1039.0,583.12
1209,998.0,582.82
1210,637.0,583.15
1211,632.0,587.03
1212,626.0,586.8
1213,760.0,588.37
1214,639.0,584.42
1215,619.0,588.41
1216,740.0,593.4
1217,1038.0,601.37
1218,610.0,599.33
1219,249.0,592.2
1220,1047.0,596.28
1221,1137.0,597.19
1222,1049.0,605.36
1223,639.0,604.9
1224,246.0,601.32
1225,235.0,597.34
1226,250.0,589.53
1227,229.0,585.6
1228,1022.0,589.47
1229,595.0,593.11
1230,234.0,589.39
1231,228.0,585.44
1232,625.0,574.58
1233,778.0,579.87
1234,228.0,574.03
1235,1009.0,578.0
1236,232.0,574.01
1237,1053.0,571.14
1238,816.0,572.19
1239,234.0,572.07
1240,240.0,568.08
1241,622.0,568.22
1242,612.0,563.94
1243,800.0,565.79
1244,761.0,570.93
1245,640.0,574.94
1246,628.0,574.88
1247,247.0,571.16
1248,233.0,565.47
1249,639.0,563.89
1250,215.0,563.63
1251,1323.0,574.42
1252,241.0,574.33
1253,567.0,577.48
1254,627.0,576.15
1255,229.0,572.16
1256,245.0,572.13
1257,638.0,576.0
1258,619.0,579.73
1259,796.0,579.54
1260,1135.0,582.92
1261,235.0,582.99
1262,237.0,583.03
1263,238.0,579.04
1264,633.0,574.95
1265,236.0,574.88
1266,247.0,571.33
1267,629.0,575.19
1268,222.0,575.01
1269,247.0,571.15
1270,1338.0,576.4
1271,741.0,581.45
1272,1047.0,584.48
1273,246.0,584.46
1274,735.0,589.33
1275,639.0,593.44
1276,234.0,593.3
1277,1041.0,597.57
1278,605.0,601.17
1279,241.0,601.15
1280,609.0,599.77
1281,614.0,603.41
1282,247.0,603.43
1283,649.0,607.42
1284,1040.0,604.49
1285,1830.0,615.47
1286,232.0,606.32
1287,603.0,604.33
1288,1384.0,608.02
1289,226.0,602.19
1290,630.0,606.12
1291,1827.0,618.29
1292,230.0,618.15
1293,238.0,607.39
1294,616.0,607.24
1295,239.0,607.18
1296,1336.0,612.77
1297,636.0,616.95
1298,217.0,613.08
1299,246.0,609.34
1300,617.0,609.23
1301,731.0,614.26
1302,224.0,614.11
1303,811.0,616.07
1304,1028.0,615.93
1305,229.0,615.8
