Episode,Moving_Average,min_moving_avg_100,max_moving_avg_100
0,374.0,374.0,374.0
1,269.5,269.5,374.0
2,338.6666666666667,269.5,374.0
3,294.75,269.5,374.0
4,312.2,269.5,374.0
5,286.3333333333333,269.5,374.0
6,267.42857142857144,267.42857142857144,374.0
7,253.875,253.875,374.0
8,268.1111111111111,253.875,374.0
9,257.3,253.875,374.0
10,249.1818181818182,249.1818181818182,374.0
11,267.5,249.1818181818182,374.0
12,259.9230769230769,249.1818181818182,374.0
13,268.2857142857143,249.1818181818182,374.0
14,261.1333333333333,249.1818181818182,374.0
15,269.75,249.1818181818182,374.0
16,262.8235294117647,249.1818181818182,374.0
17,270.0,249.1818181818182,374.0
18,263.94736842105266,249.1818181818182,374.0
19,259.4,249.1818181818182,374.0
20,265.85714285714283,249.1818181818182,374.0
21,261.1818181818182,249.1818181818182,374.0
22,280.7826086956522,249.1818181818182,374.0
23,276.125,249.1818181818182,374.0
24,271.68,249.1818181818182,374.0
25,275.5,249.1818181818182,374.0
26,271.48148148148147,249.1818181818182,374.0
27,275.85714285714283,249.1818181818182,374.0
28,282.6896551724138,249.1818181818182,374.0
29,279.0,249.1818181818182,374.0
30,285.48387096774195,249.1818181818182,374.0
31,281.78125,249.1818181818182,374.0
32,278.24242424242425,249.1818181818182,374.0
33,284.1764705882353,249.1818181818182,374.0
34,286.9714285714286,249.1818181818182,374.0
35,283.6388888888889,249.1818181818182,374.0
36,280.5945945945946,249.1818181818182,374.0
37,283.3421052631579,249.1818181818182,374.0
38,280.2307692307692,249.1818181818182,374.0
39,285.275,249.1818181818182,374.0
40,282.2926829268293,249.1818181818182,374.0
41,279.54761904761904,249.1818181818182,374.0
42,276.8837209302326,249.1818181818182,374.0
43,279.29545454545456,249.1818181818182,374.0
44,281.8,249.1818181818182,374.0
45,279.19565217391306,249.1818181818182,374.0
46,276.8085106382979,249.1818181818182,374.0
47,274.3958333333333,249.1818181818182,374.0
48,276.8775510204082,249.1818181818182,374.0
49,274.8,249.1818181818182,374.0
50,272.6862745098039,249.1818181818182,374.0
51,270.63461538461536,249.1818181818182,374.0
52,272.79245283018867,249.1818181818182,374.0
53,274.85185185185185,249.1818181818182,374.0
54,276.8363636363636,249.1818181818182,374.0
55,278.98214285714283,249.1818181818182,374.0
56,277.0175438596491,249.1818181818182,374.0
57,274.91379310344826,249.1818181818182,374.0
58,278.52542372881356,249.1818181818182,374.0
59,280.3,249.1818181818182,374.0
60,278.44262295081967,249.1818181818182,374.0
61,276.48387096774195,249.1818181818182,374.0
62,274.74603174603175,249.1818181818182,374.0
63,277.875,249.1818181818182,374.0
64,279.53846153846155,249.1818181818182,374.0
65,277.72727272727275,249.1818181818182,374.0
66,276.0149253731343,249.1818181818182,374.0
67,277.8235294117647,249.1818181818182,374.0
68,279.3188405797101,249.1818181818182,374.0
69,280.9142857142857,249.1818181818182,374.0
70,279.2676056338028,249.1818181818182,374.0
71,277.68055555555554,249.1818181818182,374.0
72,276.1095890410959,249.1818181818182,374.0
73,279.0405405405405,249.1818181818182,374.0
74,277.49333333333334,249.1818181818182,374.0
75,278.85526315789474,249.1818181818182,374.0
76,277.3636363636364,249.1818181818182,374.0
77,276.0128205128205,249.1818181818182,374.0
78,274.67088607594934,249.1818181818182,374.0
79,275.85,249.1818181818182,374.0
80,274.5061728395062,249.1818181818182,374.0
81,275.8292682926829,249.1818181818182,374.0
82,274.578313253012,249.1818181818182,374.0
83,273.2857142857143,249.1818181818182,374.0
84,272.1058823529412,249.1818181818182,374.0
85,274.4767441860465,249.1818181818182,374.0
86,275.6896551724138,249.1818181818182,374.0
87,274.4431818181818,249.1818181818182,374.0
88,273.2022471910112,249.1818181818182,374.0
89,272.05555555555554,249.1818181818182,374.0
90,270.9230769230769,249.1818181818182,374.0
91,269.82608695652175,249.1818181818182,374.0
92,271.1182795698925,249.1818181818182,374.0
