Episode,Moving_Average,min_moving_avg_100,max_moving_avg_100
0,164.0,164.0,164.0
1,273.0,164.0,273.0
2,309.6666666666667,164.0,309.6666666666667
3,273.75,164.0,309.6666666666667
4,298.0,164.0,309.6666666666667
5,276.1666666666667,164.0,309.6666666666667
6,258.57142857142856,164.0,309.6666666666667
7,276.25,164.0,309.6666666666667
8,287.8888888888889,164.0,309.6666666666667
9,275.7,164.0,309.6666666666667
10,286.54545454545456,164.0,309.6666666666667
11,276.8333333333333,164.0,309.6666666666667
12,285.7692307692308,164.0,309.6666666666667
13,291.7142857142857,164.0,309.6666666666667
14,301.8666666666667,164.0,309.6666666666667
15,293.1875,164.0,309.6666666666667
16,285.1764705882353,164.0,309.6666666666667
17,290.3333333333333,164.0,309.6666666666667
18,283.6842105263158,164.0,309.6666666666667
19,278.2,164.0,309.6666666666667
20,283.23809523809524,164.0,309.6666666666667
21,287.6363636363636,164.0,309.6666666666667
22,282.5652173913044,164.0,309.6666666666667
23,277.6666666666667,164.0,309.6666666666667
24,282.4,164.0,309.6666666666667
25,288.4230769230769,164.0,309.6666666666667
26,283.5925925925926,164.0,309.6666666666667
27,287.75,164.0,309.6666666666667
28,283.62068965517244,164.0,309.6666666666667
29,279.6333333333333,164.0,309.6666666666667
30,275.64516129032256,164.0,309.6666666666667
31,272.09375,164.0,309.6666666666667
32,268.93939393939394,164.0,309.6666666666667
33,265.7647058823529,164.0,309.6666666666667
34,269.45714285714286,164.0,309.6666666666667
35,266.69444444444446,164.0,309.6666666666667
36,269.97297297297297,164.0,309.6666666666667
37,266.89473684210526,164.0,309.6666666666667
38,271.20512820512823,164.0,309.6666666666667
39,268.6,164.0,309.6666666666667
40,271.6341463414634,164.0,309.6666666666667
41,274.3333333333333,164.0,309.6666666666667
42,271.86046511627904,164.0,309.6666666666667
43,269.45454545454544,164.0,309.6666666666667
44,267.24444444444447,164.0,309.6666666666667
45,264.7608695652174,164.0,309.6666666666667
46,262.4255319148936,164.0,309.6666666666667
47,264.8958333333333,164.0,309.6666666666667
48,262.85714285714283,164.0,309.6666666666667
49,260.84,164.0,309.6666666666667
50,265.05882352941177,164.0,309.6666666666667
51,263.2307692307692,164.0,309.6666666666667
52,261.35849056603774,164.0,309.6666666666667
53,259.537037037037,164.0,309.6666666666667
54,267.3818181818182,164.0,309.6666666666667
55,269.4642857142857,164.0,309.6666666666667
56,271.4736842105263,164.0,309.6666666666667
57,269.82758620689657,164.0,309.6666666666667
58,271.5762711864407,164.0,309.6666666666667
59,269.7,164.0,309.6666666666667
