Episode,Total_Reward,Moving_Average,Episode_Length,Step_Count,Success
15106,171.0,702.93,26,707859,0
15107,1502.0,714.04,157,708016,0
15108,1163.0,720.84,108,708124,0
15109,171.0,718.61,26,708150,0
15110,1901.0,726.01,230,708380,0
15111,379.0,728.11,40,708420,0
15112,1158.0,728.17,105,708525,0
15113,379.0,720.44,40,708565,0
15114,381.0,712.74,40,708605,0
15115,392.0,714.96,45,708650,0
15116,378.0,707.4,38,708688,0
15117,392.0,707.41,45,708733,0
15118,169.0,705.19,26,708759,0
15119,1155.0,705.24,108,708867,0
15120,485.0,706.1,59,708926,0
15121,381.0,698.32,40,708966,0
15122,1149.0,698.18,107,709073,0
15123,373.0,690.44,41,709114,0
15124,1130.0,690.25,117,709231,0
15125,1498.0,700.38,143,709374,0
15126,374.0,692.58,38,709412,0
15127,1151.0,700.18,107,709519,0
15128,373.0,692.39,42,709561,0
15129,379.0,692.42,40,709601,0
15130,379.0,684.61,40,709641,0
15131,483.0,684.59,57,709698,0
15132,1221.0,691.96,111,709809,0
15133,390.0,694.12,46,709855,0
15134,1155.0,703.98,106,709961,0
15135,473.0,697.18,61,710022,0
15136,372.0,697.04,40,710062,0
15137,1124.0,706.56,116,710178,0
15138,379.0,698.72,40,710218,0
15139,174.0,698.76,26,710244,0
15140,372.0,681.5,39,710283,0
15141,390.0,683.68,47,710330,0
15142,379.0,685.75,40,710370,0
15143,371.0,687.76,38,710408,0
15144,387.0,680.08,45,710453,0
15145,485.0,680.08,62,710515,0
15146,1160.0,689.93,109,710624,0
15147,378.0,682.19,38,710662,0
15148,1155.0,692.0,104,710766,0
15149,392.0,682.61,46,710812,0
15150,1155.0,682.71,104,710916,0
15151,369.0,684.73,49,710965,0
15152,382.0,686.83,40,711005,0
15153,1155.0,693.57,104,711109,0
15154,1151.0,693.63,105,711214,0
15155,1154.0,693.68,106,711320,0
15156,479.0,687.09,64,711384,0
15157,386.0,679.6,46,711430,0
15158,1152.0,679.88,106,711536,0
15159,379.0,672.23,40,711576,0
15160,379.0,672.12,40,711616,0
15161,1154.0,672.04,106,711722,0
15162,1169.0,679.82,112,711834,0
15163,1149.0,687.52,107,711941,0
15164,2165.0,705.23,206,712147,1
15165,381.0,697.51,41,712188,0
15166,484.0,700.62,58,712246,0
15167,1923.0,715.95,214,712460,0
15168,375.0,718.0,40,712500,0
15169,705.0,723.34,66,712566,0
15170,1145.0,723.37,106,712672,0
15171,1146.0,723.33,108,712780,0
15172,1236.0,731.76,113,712893,0
15173,1157.0,739.43,107,713000,0
15174,1233.0,750.09,112,713112,0
15175,387.0,750.04,41,713153,0
15176,484.0,750.96,60,713213,0
15177,485.0,752.1,58,713271,0
15178,395.0,744.44,44,713315,0
15179,481.0,737.75,51,713366,0
15180,381.0,729.85,39,713405,0
15181,386.0,716.04,46,713451,0
15182,1158.0,723.84,106,713557,0
15183,1877.0,727.6,231,713788,0
15184,170.0,725.5,26,713814,0
15185,168.0,715.58,30,713844,0
15186,396.0,708.11,43,713887,0
15187,168.0,698.35,27,713914,0
15188,371.0,690.54,40,713954,0
15189,482.0,683.8,51,714005,0
15190,391.0,676.19,45,714050,0
15191,387.0,678.33,43,714093,0
15192,168.0,668.4,27,714120,0
15193,374.0,668.34,39,714159,0
15194,177.0,666.33,29,714188,0
15195,394.0,658.7,45,714233,0
15196,476.0,659.75,68,714301,0
15197,480.0,659.72,55,714356,0
15198,394.0,661.95,45,714401,0
15199,387.0,661.91,42,714443,0
15200,380.0,661.9,39,714482,0
15201,1150.0,671.69,106,714588,0
15202,172.0,669.62,27,714615,0
15203,1160.0,679.52,107,714722,0
15204,170.0,669.86,27,714749,0
15205,372.0,669.87,39,714788,0
15206,176.0,669.92,28,714816,0
15207,388.0,658.78,46,714862,0
15208,394.0,651.09,46,714908,0
15209,480.0,654.18,58,714966,0
15210,380.0,638.97,40,715006,0
15211,1150.0,646.68,104,715110,0
15212,1234.0,647.44,111,715221,0
15213,170.0,645.35,27,715248,0
15214,380.0,645.34,44,715292,0
15215,173.0,643.15,27,715319,0
15216,1236.0,651.73,112,715431,0
15217,483.0,652.64,54,715485,0
15218,1253.0,663.48,113,715598,0
15219,1157.0,663.5,106,715704,0
15220,394.0,662.59,46,715750,0
15221,389.0,662.67,46,715796,0
15222,485.0,656.03,59,715855,0
15223,379.0,656.09,41,715896,0
15224,1160.0,656.39,107,716003,0
15225,390.0,645.31,47,716050,0
15226,166.0,643.23,28,716078,0
15227,174.0,633.46,28,716106,0
15228,391.0,633.64,47,716153,0
15229,391.0,633.76,45,716198,0
15230,168.0,631.65,29,716227,0
15231,392.0,630.74,45,716272,0
15232,485.0,623.38,55,716327,0
15233,1355.0,633.03,124,716451,0
15234,1147.0,632.95,104,716555,0
15235,481.0,633.03,65,716620,0
15236,1236.0,641.67,112,716732,0
15237,172.0,632.15,28,716760,0
15238,390.0,632.26,47,716807,0
15239,171.0,632.23,26,716833,0
15240,392.0,632.43,45,716878,0
15241,392.0,632.45,45,716923,0
15242,380.0,632.46,44,716967,0
15243,384.0,632.59,44,717011,0
15244,695.0,635.67,67,717078,0
15245,1348.0,644.3,121,717199,0
15246,173.0,634.43,29,717228,0
15247,372.0,634.37,40,717268,0
15248,479.0,627.61,61,717329,0
15249,174.0,625.43,28,717357,0
15250,176.0,615.64,27,717384,0
15251,1172.0,623.67,107,717491,0
15252,392.0,623.77,46,717537,0
15253,1144.0,623.66,107,717644,0
15254,170.0,613.85,28,717672,0
15255,974.0,612.05,91,717763,0
15256,172.0,608.98,29,717792,0
15257,389.0,609.01,45,717837,0
15258,177.0,599.26,28,717865,0
15259,392.0,599.39,44,717909,0
15260,1160.0,607.2,106,718015,0
15261,171.0,597.37,29,718044,0
15262,172.0,587.4,28,718072,0
15263,171.0,577.62,28,718100,0
15264,173.0,557.7,27,718127,0
15265,394.0,557.83,45,718172,0
15266,172.0,554.71,28,718200,0
15267,170.0,537.18,29,718229,0
15268,170.0,535.13,28,718257,0
15269,175.0,529.83,29,718286,0
15270,1160.0,529.98,111,718397,0
15271,387.0,522.39,51,718448,0
15272,171.0,511.74,27,718475,0
15273,173.0,501.9,29,718504,0
15274,394.0,493.51,45,718549,0
15275,172.0,491.36,26,718575,0
15276,170.0,488.22,29,718604,0
15277,387.0,487.24,51,718655,0
15278,176.0,485.05,29,718684,0
15279,390.0,484.14,46,718730,0
15280,175.0,482.08,28,718758,0
15281,393.0,482.15,51,718809,0
15282,488.0,475.45,56,718865,0
15283,393.0,460.61,51,718916,0
15284,172.0,460.63,28,718944,0
15285,486.0,463.81,53,718997,0
15286,170.0,461.55,29,719026,0
15287,390.0,463.77,47,719073,0
15288,173.0,461.79,26,719099,0
15289,1238.0,469.35,111,719210,0
15290,679.0,472.23,65,719275,0
15291,172.0,470.08,27,719302,0
15292,168.0,470.08,29,719331,0
15293,170.0,468.04,26,719357,0
15294,1160.0,477.87,106,719463,0
15295,177.0,475.7,29,719492,0
15296,483.0,475.77,55,719547,0
15297,393.0,474.9,45,719592,0
15298,386.0,474.82,48,719640,0
15299,171.0,472.66,30,719670,0
15300,173.0,470.59,29,719699,0
15301,487.0,463.96,55,719754,0
15302,392.0,466.16,44,719798,0
15303,170.0,456.26,28,719826,0
15304,1157.0,466.13,110,719936,0
15305,173.0,464.14,29,719965,0
15306,1235.0,474.73,111,720076,0
15307,170.0,472.55,29,720105,0
15308,483.0,473.44,63,720168,0
15309,393.0,472.57,43,720211,0
15310,396.0,472.73,43,720254,0
15311,177.0,463.0,27,720281,0
15312,173.0,452.39,30,720311,0
15313,168.0,452.37,28,720339,0
15314,371.0,452.28,38,720377,0
15315,486.0,455.41,65,720442,0
15316,171.0,444.76,29,720471,0
15317,170.0,441.63,29,720500,0
15318,171.0,430.81,29,720529,0
15319,172.0,420.96,28,720557,0
15320,1151.0,428.53,105,720662,0
15321,170.0,426.34,30,720692,0
15322,170.0,423.19,27,720719,0
15323,172.0,421.12,29,720748,0
15324,173.0,411.25,26,720774,0
15325,396.0,411.31,45,720819,0
15326,390.0,413.55,45,720864,0
15327,482.0,416.63,65,720929,0
15328,385.0,416.57,45,720974,0
15329,1147.0,424.13,103,721077,0
15330,391.0,426.36,47,721124,0
15331,172.0,424.16,28,721152,0
15332,172.0,421.03,28,721180,0
15333,171.0,409.19,29,721209,0
15334,171.0,399.43,29,721238,0
15335,1154.0,406.16,106,721344,0
15336,1146.0,405.26,104,721448,0
15337,174.0,405.28,27,721475,0
15338,396.0,405.34,45,721520,0
15339,488.0,408.51,53,721573,0
15340,387.0,408.46,41,721614,0
15341,169.0,406.23,27,721641,0
15342,394.0,406.37,46,721687,0
15343,171.0,404.24,28,721715,0
15344,174.0,399.03,29,721744,0
15345,1217.0,397.72,121,721865,0
15346,166.0,397.65,27,721892,0
15347,166.0,395.59,29,721921,0
15348,175.0,392.55,30,721951,0
15349,1157.0,402.38,110,722061,0
15350,1161.0,412.23,108,722169,0
15351,169.0,402.2,27,722196,0
15352,1238.0,410.66,111,722307,0
15353,173.0,400.95,29,722336,0
15354,1147.0,410.72,105,722441,0
15355,168.0,402.66,29,722470,0
15356,1365.0,414.59,128,722598,0
15357,168.0,412.38,27,722625,0
15358,169.0,412.3,27,722652,0
15359,149.0,409.87,28,722680,0
15360,169.0,399.96,26,722706,0
15361,168.0,399.93,28,722734,0
15362,170.0,399.91,28,722762,0
15363,173.0,399.93,29,722791,0
15364,170.0,399.9,29,722820,0
15365,168.0,397.64,28,722848,0
15366,379.0,399.71,46,722894,0
15367,170.0,399.71,29,722923,0
15368,168.0,399.69,26,722949,0
15369,1124.0,409.18,117,723066,0
15370,173.0,399.31,28,723094,0
15371,376.0,399.2,40,723134,0
15372,1158.0,409.07,107,723241,0
15373,387.0,411.21,47,723288,0
15374,1146.0,418.73,103,723391,0
15375,170.0,418.71,29,723420,0
15376,173.0,418.74,29,723449,0
15377,172.0,416.59,30,723479,0
15378,172.0,416.55,29,723508,0
15379,172.0,414.37,29,723537,0
15380,482.0,417.44,56,723593,0
15381,383.0,417.34,43,723636,0
15382,172.0,414.18,28,723664,0
15383,484.0,415.09,55,723719,0
15384,174.0,415.11,28,723747,0
15385,1150.0,421.75,105,723852,0
15386,170.0,421.75,27,723879,0
15387,173.0,419.58,29,723908,0
15388,172.0,419.57,29,723937,0
15389,1236.0,419.55,112,724049,0
15390,172.0,414.48,29,724078,0
15391,170.0,414.46,28,724106,0
15392,170.0,414.48,28,724134,0
15393,171.0,414.49,29,724163,0
15394,173.0,404.62,30,724193,0
15395,1222.0,415.07,115,724308,0
15396,176.0,412.0,29,724337,0
15397,173.0,409.8,27,724364,0
15398,168.0,407.62,28,724392,0
15399,1172.0,417.63,107,724499,0
15400,391.0,419.81,48,724547,0
15401,386.0,418.8,46,724593,0
15402,482.0,419.7,60,724653,0
15403,175.0,419.75,27,724680,0
15404,174.0,409.92,26,724706,0
15405,1145.0,419.64,104,724810,0
15406,1151.0,418.8,105,724915,0
15407,484.0,421.94,60,724975,0
15408,1221.0,429.32,110,725085,0
15409,1156.0,436.95,110,725195,0
15410,1343.0,446.42,124,725319,0
15411,1221.0,456.86,112,725431,0
15412,1238.0,467.51,113,725544,0
15413,1501.0,480.84,142,725686,0
15414,371.0,480.84,43,725729,0
15415,1152.0,487.5,106,725835,0
15416,1148.0,497.27,105,725940,0
15417,174.0,497.31,27,725967,0
15418,1221.0,507.81,113,726080,0
15419,1152.0,517.61,106,726186,0
15420,176.0,507.86,27,726213,0
15421,170.0,507.86,29,726242,0
15422,390.0,510.06,46,726288,0
15423,485.0,513.19,54,726342,0
15424,170.0,513.16,28,726370,0
15425,166.0,510.86,27,726397,0
15426,373.0,510.69,40,726437,0
15427,170.0,507.57,27,726464,0
15428,486.0,508.58,56,726520,0
15429,485.0,501.96,62,726582,0
15430,169.0,499.74,28,726610,0
15431,1153.0,509.55,106,726716,0
15432,488.0,512.71,55,726771,0
15433,168.0,512.68,29,726800,0
15434,175.0,512.72,26,726826,0
15435,172.0,502.9,28,726854,0
15436,387.0,495.31,45,726899,0
15437,390.0,497.47,46,726945,0
15438,1158.0,505.09,108,727053,0
15439,167.0,501.88,27,727080,0
15440,1238.0,510.39,113,727193,0
15441,392.0,512.62,46,727239,0
15442,1159.0,520.27,115,727354,0
15443,1223.0,530.79,115,727469,0
15444,1148.0,540.53,105,727574,0
15445,1152.0,539.88,107,727681,0
15446,391.0,542.13,47,727728,0
15447,390.0,544.37,44,727772,0
15448,1123.0,553.85,121,727893,0
15449,371.0,545.99,41,727934,0
15450,680.0,541.18,65,727999,0
15451,381.0,543.3,40,728039,0
15452,174.0,532.66,26,728065,0
15453,370.0,534.63,40,728105,0
15454,372.0,526.88,39,728144,0
15455,1152.0,536.72,104,728248,0
15456,977.0,532.84,90,728338,0
15457,1152.0,542.68,106,728444,0
15458,372.0,544.71,39,728483,0
15459,393.0,547.15,46,728529,0
15460,392.0,549.38,51,728580,0
15461,1152.0,559.22,104,728684,0
15462,1238.0,569.9,111,728795,0
15463,392.0,572.09,47,728842,0
15464,2105.0,591.44,253,729095,0
15465,173.0,591.49,26,729121,0
15466,378.0,591.48,38,729159,0
15467,173.0,591.51,26,729185,0
15468,168.0,591.51,28,729213,0
15469,388.0,584.15,46,729259,0
15470,170.0,584.12,28,729287,0
15471,385.0,584.21,46,729333,0
15472,1245.0,585.08,118,729451,0
15473,1236.0,593.57,117,729568,0
15474,169.0,583.8,31,729599,0
15475,175.0,583.85,27,729626,0
15476,172.0,583.84,26,729652,0
15477,393.0,586.05,46,729698,0
15478,390.0,588.23,48,729746,0
15479,395.0,590.46,45,729791,0
15480,390.0,589.54,46,729837,0
15481,370.0,589.41,51,729888,0
15482,174.0,589.43,28,729916,0
15483,171.0,586.3,27,729943,0
15484,171.0,586.27,27,729970,0
15485,171.0,576.48,29,729999,0
15486,1123.0,586.01,123,730122,0
15487,483.0,589.11,51,730173,0
15488,487.0,592.26,60,730233,0
15489,396.0,583.86,45,730278,0
15490,176.0,583.9,27,730305,0
15491,1160.0,593.8,107,730412,0
15492,1161.0,603.71,107,730519,0
15493,1153.0,613.53,106,730625,0
15494,170.0,613.5,26,730651,0
15495,1485.0,616.13,162,730813,0
15496,392.0,618.29,46,730859,0
15497,1146.0,628.02,106,730965,0
15498,486.0,631.2,61,731026,0
15499,174.0,621.22,27,731053,0
15500,1125.0,628.56,115,731168,0
15501,1363.0,638.33,135,731303,0
15502,172.0,635.23,29,731332,0
15503,485.0,638.33,55,731387,0
15504,376.0,640.35,40,731427,0
15505,388.0,632.78,48,731475,0
15506,1160.0,632.87,105,731580,0
15507,486.0,632.89,55,731635,0
15508,1162.0,632.3,106,731741,0
15509,375.0,624.49,39,731780,0
15510,169.0,612.75,29,731809,0
15511,390.0,604.44,50,731859,0
15512,1160.0,603.66,107,731966,0
15513,172.0,590.37,26,731992,0
15514,372.0,590.38,38,732030,0
15515,1238.0,591.24,114,732144,0
15516,390.0,583.66,46,732190,0
15517,1151.0,593.43,106,732296,0
15518,170.0,582.92,28,732324,0
15519,1153.0,582.93,113,732437,0
15520,173.0,582.9,26,732463,0
15521,170.0,582.9,29,732492,0
15522,387.0,582.87,50,732542,0
15523,1159.0,589.61,113,732655,0
15524,173.0,589.64,30,732685,0
15525,172.0,589.7,28,732713,0
15526,1220.0,598.17,117,732830,0
15527,1148.0,607.95,118,732948,0
15528,172.0,604.81,29,732977,0
15529,485.0,604.81,55,733032,0
15530,176.0,604.88,26,733058,0
15531,488.0,598.23,63,733121,0
15532,373.0,597.08,40,733161,0
15533,388.0,599.28,49,733210,0
15534,168.0,599.21,26,733236,0
15535,170.0,599.19,26,733262,0
15536,390.0,599.22,49,733311,0
15537,1222.0,607.54,110,733421,0
15538,483.0,600.79,53,733474,0
15539,372.0,602.84,38,733512,0
15540,1146.0,601.92,110,733622,0
15541,170.0,599.7,28,733650,0
15542,1245.0,600.56,151,733801,0
15543,389.0,592.22,45,733846,0
15544,1160.0,592.34,107,733953,0
15545,482.0,585.64,65,734018,0
15546,1235.0,594.08,111,734129,0
15547,1354.0,603.72,134,734263,0
15548,1333.0,605.82,134,734397,0
15549,396.0,606.07,49,734446,0
15550,172.0,600.99,28,734474,0
15551,173.0,598.91,29,734503,0
15552,174.0,598.91,28,734531,0
15553,1151.0,606.72,109,734640,0
15554,390.0,606.9,46,734686,0
15555,371.0,599.09,40,734726,0
15556,389.0,593.21,47,734773,0
15557,163.0,583.32,29,734802,0
15558,389.0,583.49,44,734846,0
15559,484.0,584.4,53,734899,0
15560,486.0,585.34,53,734952,0
15561,389.0,577.71,47,734999,0
15562,173.0,567.06,29,735028,0
15563,168.0,564.82,26,735054,0
15564,169.0,545.46,29,735083,0
15565,1154.0,555.27,106,735189,0
15566,173.0,553.22,28,735217,0
15567,371.0,555.2,38,735255,0
15568,1153.0,565.05,106,735361,0
15569,373.0,564.9,40,735401,0
15570,1166.0,574.86,107,735508,0
15571,391.0,574.92,48,735556,0
15572,168.0,564.15,28,735584,0
15573,1151.0,563.3,108,735692,0
15574,171.0,563.32,30,735722,0
15575,1153.0,573.1,106,735828,0
15576,174.0,573.12,28,735856,0
15577,168.0,570.87,28,735884,0
15578,173.0,568.7,27,735911,0
15579,1861.0,583.36,184,736095,0
15580,903.0,588.49,85,736180,0
15581,172.0,586.51,28,736208,0
15582,174.0,586.51,30,736238,0
15583,172.0,586.52,29,736267,0
15584,1163.0,596.44,115,736382,0
15585,1225.0,606.98,116,736498,0
15586,1138.0,607.13,108,736606,0
15587,172.0,604.02,27,736633,0
15588,176.0,600.91,29,736662,0
15589,1222.0,609.17,110,736772,0
15590,172.0,609.13,28,736800,0
15591,1148.0,609.01,105,736905,0
15592,385.0,601.25,46,736951,0
15593,170.0,591.42,26,736977,0
15594,168.0,591.4,28,737005,0
15595,171.0,578.26,29,737034,0
15596,487.0,579.21,54,737088,0
15597,173.0,569.48,29,737117,0
15598,168.0,566.3,28,737145,0
15599,173.0,566.29,29,737174,0
15600,391.0,558.95,45,737219,0
15601,1146.0,556.78,107,737326,0
15602,389.0,558.95,50,737376,0
15603,172.0,555.82,28,737404,0
15604,1230.0,564.36,116,737520,0
15605,1238.0,572.86,112,737632,0
15606,171.0,562.97,30,737662,0
15607,172.0,559.83,29,737691,0
15608,179.0,550.0,28,737719,0
15609,172.0,547.97,28,737747,0
15610,373.0,550.01,42,737789,0
15611,174.0,547.85,28,737817,0
15612,1141.0,547.66,115,737932,0
15613,393.0,549.87,46,737978,0
15614,1160.0,557.75,108,738086,0
15615,394.0,549.31,44,738130,0
15616,392.0,549.33,46,738176,0
15617,172.0,539.54,26,738202,0
15618,172.0,539.56,28,738230,0
15619,1160.0,539.63,114,738344,0
15620,171.0,539.61,26,738370,0
15621,1151.0,549.42,105,738475,0
15622,394.0,549.49,44,738519,0
15623,169.0,539.59,26,738545,0
15624,168.0,539.54,28,738573,0
15625,173.0,539.55,29,738602,0
15626,373.0,531.08,42,738644,0
15627,1159.0,531.19,115,738759,0
15628,370.0,533.17,38,738797,0
15629,1146.0,539.78,104,738901,0
15630,172.0,539.74,28,738929,0
15631,172.0,536.58,26,738955,0
15632,171.0,534.56,27,738982,0
15633,1237.0,543.05,111,739093,0
15634,174.0,543.11,28,739121,0
15635,382.0,545.23,40,739161,0
15636,1354.0,554.87,125,739286,0
15637,394.0,546.59,49,739335,0
15638,171.0,543.47,28,739363,0
15639,677.0,546.52,71,739434,0
15640,1153.0,546.59,115,739549,0
15641,172.0,546.61,28,739577,0
15642,1149.0,545.65,106,739683,0
15643,482.0,546.58,62,739745,0
15644,394.0,538.92,47,739792,0
15645,1223.0,546.33,112,739904,0
15646,172.0,535.7,28,739932,0
15647,373.0,525.89,40,739972,0
15648,392.0,516.48,46,740018,0
15649,1145.0,523.97,106,740124,0
15650,170.0,523.95,28,740152,0
15651,170.0,523.92,26,740178,0
15652,389.0,526.07,47,740225,0
15653,473.0,519.29,60,740285,0
15654,487.0,520.26,55,740340,0
15655,1154.0,528.09,107,740447,0
15656,392.0,528.12,46,740493,0
15657,374.0,530.23,40,740533,0
15658,171.0,528.05,27,740560,0
15659,174.0,524.95,26,740586,0
15660,398.0,524.07,46,740632,0
15661,391.0,524.09,44,740676,0
15662,1149.0,533.85,105,740781,0
15663,1153.0,543.7,104,740885,0
15664,169.0,543.7,26,740911,0
15665,393.0,536.09,45,740956,0
15666,170.0,536.06,26,740982,0
15667,372.0,536.07,39,741021,0
15668,168.0,526.22,29,741050,0
15669,1151.0,534.0,105,741155,0
15670,385.0,526.19,41,741196,0
15671,389.0,526.17,50,741246,0
15672,372.0,528.21,38,741284,0
15673,1137.0,528.07,109,741393,0
15674,370.0,530.06,39,741432,0
15675,379.0,522.32,42,741474,0
15676,1151.0,532.09,108,741582,0
15677,483.0,535.24,56,741638,0
15678,170.0,535.21,28,741666,0
15679,1146.0,528.06,105,741771,0
15680,174.0,520.77,26,741797,0
15681,177.0,520.82,27,741824,0
15682,476.0,523.84,61,741885,0
15683,1152.0,533.64,106,741991,0
15684,485.0,526.86,55,742046,0
15685,170.0,516.31,29,742075,0
15686,1151.0,516.44,108,742183,0
15687,170.0,516.42,28,742211,0
15688,1160.0,526.26,106,742317,0
15689,371.0,517.75,39,742356,0
15690,174.0,517.77,28,742384,0
15691,380.0,510.09,40,742424,0
15692,1148.0,517.72,106,742530,0
15693,372.0,519.74,38,742568,0
15694,697.0,525.03,76,742644,0
15695,1238.0,535.7,114,742758,0
15696,1160.0,542.43,107,742865,0
15697,170.0,542.4,28,742893,0
15698,1147.0,552.19,105,742998,0
15699,1142.0,561.88,113,743111,0
15700,1222.0,570.19,115,743226,0
15701,169.0,560.42,26,743252,0
15702,373.0,560.26,40,743292,0
15703,387.0,562.41,45,743337,0
15704,1152.0,561.63,106,743443,0
15705,175.0,551.0,28,743471,0
15706,1220.0,561.49,114,743585,0
15707,1161.0,571.38,106,743691,0
15708,169.0,571.28,29,743720,0
15709,1219.0,581.75,113,743833,0
15710,398.0,582.0,47,743880,0
15711,1151.0,591.77,107,743987,0
15712,376.0,584.12,39,744026,0
15713,392.0,584.11,46,744072,0
15714,1150.0,584.01,106,744178,0
15715,1158.0,591.65,106,744284,0
15716,1151.0,599.24,107,744391,0
15717,483.0,602.35,61,744452,0
15718,169.0,602.32,28,744480,0
15719,485.0,595.57,58,744538,0
15720,1164.0,605.5,107,744645,0
15721,372.0,597.71,38,744683,0
15722,391.0,597.68,49,744732,0
15723,372.0,599.71,40,744772,0
15724,395.0,601.98,47,744819,0
15725,392.0,604.17,43,744862,0
15726,1223.0,612.67,112,744974,0
15727,168.0,602.76,28,745002,0
15728,172.0,600.78,28,745030,0
15729,168.0,591.0,28,745058,0
15730,393.0,593.21,44,745102,0
15731,171.0,593.2,29,745131,0
15732,171.0,593.2,27,745158,0
15733,1151.0,592.34,106,745264,0
15734,168.0,592.28,28,745292,0
15735,171.0,590.17,29,745321,0
15736,1229.0,588.92,116,745437,0
15737,396.0,588.94,44,745481,0
15738,1238.0,599.61,111,745592,0
15739,1145.0,604.29,105,745697,0
15740,170.0,594.46,30,745727,0
15741,395.0,596.69,45,745772,0
15742,384.0,589.04,47,745819,0
15743,170.0,585.92,28,745847,0
15744,171.0,583.69,29,745876,0
